X_id,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,geometry
330,GO-20082862776,1215576000000,2008,July,9,Wednesday,191,D41,Shooting,119,Wexford/Maryvale,119,Wexford/Maryvale (119),"{'type': 'MultiPoint', 'coordinates': [[-79.3112557749999, 43.750882226]]}"
331,GO-20082906096,1216008000000,2008,July,14,Monday,196,D53,Stabbing,97,Yonge-St.Clair,97,Yonge-St.Clair (97),"{'type': 'MultiPoint', 'coordinates': [[-79.3945265629999, 43.6891312450001]]}"
332,GO-20082517552,1216267200000,2008,July,17,Thursday,199,D43,Shooting,135,Morningside,135,Morningside (135),"{'type': 'MultiPoint', 'coordinates': [[-79.195420698, 43.784825293]]}"
333,GO-20082816710,1216440000000,2008,July,19,Saturday,201,D42,Shooting,143,West Rouge,131,Rouge (131),"{'type': 'MultiPoint', 'coordinates': [[-79.15277816, 43.7979017650001]]}"
334,GO-20082786692,1216526400000,2008,July,20,Sunday,202,D22,Shooting,20,Alderwood,20,Alderwood (20),"{'type': 'MultiPoint', 'coordinates': [[-79.5459299069999, 43.606297897]]}"
335,GO-20082786692,1216526400000,2008,July,20,Sunday,202,D22,Shooting,20,Alderwood,20,Alderwood (20),"{'type': 'MultiPoint', 'coordinates': [[-79.5459299069999, 43.606297897]]}"
336,GO-20082786692,1216526400000,2008,July,20,Sunday,202,D22,Shooting,20,Alderwood,20,Alderwood (20),"{'type': 'MultiPoint', 'coordinates': [[-79.5459299069999, 43.606297897]]}"
337,GO-20082773144,1217044800000,2008,July,26,Saturday,208,D31,Shooting,23,Pelmo Park-Humberlea,23,Pelmo Park-Humberlea (23),"{'type': 'MultiPoint', 'coordinates': [[-79.510552642, 43.7147558460001]]}"
338,GO-20082605554,1217131200000,2008,July,27,Sunday,209,D12,Shooting,110,Keelesdale-Eglinton West,110,Keelesdale-Eglinton West (110),"{'type': 'MultiPoint', 'coordinates': [[-79.4771502889999, 43.689671589]]}"
339,GO-20082869738,1217649600000,2008,August,2,Saturday,215,D51,Stabbing,73,Moss Park,73,Moss Park (73),"{'type': 'MultiPoint', 'coordinates': [[-79.3700991539999, 43.6561628950001]]}"
340,GO-20082761191,1217736000000,2008,August,3,Sunday,216,D14,Other,86,Roncesvalles,86,Roncesvalles (86),"{'type': 'MultiPoint', 'coordinates': [[-79.435355022, 43.6441978920001]]}"
341,GO-20082919665,1217736000000,2008,August,3,Sunday,216,D55,Stabbing,64,Woodbine Corridor,64,Woodbine Corridor (64),"{'type': 'MultiPoint', 'coordinates': [[-79.313160129, 43.670205299]]}"
342,GO-20082756711,1218340800000,2008,August,10,Sunday,223,D42,Shooting,128,Agincourt South-Malvern West,128,Agincourt South-Malvern West (128),"{'type': 'MultiPoint', 'coordinates': [[-79.257278932, 43.7874052660001]]}"
343,GO-20082986087,1219377600000,2008,August,22,Friday,235,D51,Other,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),"{'type': 'MultiPoint', 'coordinates': [[-79.356949361, 43.6492777880001]]}"
344,GO-20082891170,1219550400000,2008,August,24,Sunday,237,D32,Shooting,35,Westminster-Branson,35,Westminster-Branson (35),"{'type': 'MultiPoint', 'coordinates': [[-79.438770344, 43.764454609]]}"
345,GO-20082928965,1219723200000,2008,August,26,Tuesday,239,D42,Shooting,145,Malvern West,132,Malvern (132),"{'type': 'MultiPoint', 'coordinates': [[-79.226699474, 43.8051975060001]]}"
346,GO-20082373236,1219896000000,2008,August,28,Thursday,241,D14,Other,78,Kensington-Chinatown,78,Kensington-Chinatown (78),"{'type': 'MultiPoint', 'coordinates': [[-79.400702934, 43.6523520920001]]}"
347,GO-20082881742,1220328000000,2008,September,2,Tuesday,246,D33,Stabbing,52,Bayview Village,52,Bayview Village (52),"{'type': 'MultiPoint', 'coordinates': [[-79.3791871179999, 43.7659416910001]]}"
348,GO-20082406153,1220846400000,2008,September,8,Monday,252,D12,Shooting,112,Beechborough-Greenbrook,112,Beechborough-Greenbrook (112),"{'type': 'MultiPoint', 'coordinates': [[-79.469529489, 43.6914144830001]]}"
349,GO-20082386684,1220846400000,2008,September,8,Monday,252,D31,Stabbing,21,Humber Summit,21,Humber Summit (21),"{'type': 'MultiPoint', 'coordinates': [[-79.5423651999999, 43.752072387]]}"
350,GO-20082922744,1220932800000,2008,September,9,Tuesday,253,D31,Shooting,29,Maple Leaf,29,Maple Leaf (29),"{'type': 'MultiPoint', 'coordinates': [[-79.48094084, 43.721582547]]}"
351,GO-20082909162,1221537600000,2008,September,16,Tuesday,260,D42,Stabbing,128,Agincourt South-Malvern West,128,Agincourt South-Malvern West (128),"{'type': 'MultiPoint', 'coordinates': [[-79.287417993, 43.7817254380001]]}"
352,GO-20082747960,1221537600000,2008,September,16,Tuesday,260,D31,Shooting,24,Black Creek,24,Black Creek (24),"{'type': 'MultiPoint', 'coordinates': [[-79.518811413, 43.761912587]]}"
353,GO-20082954481,1222056000000,2008,September,22,Monday,266,D31,Shooting,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),"{'type': 'MultiPoint', 'coordinates': [[-79.514109715, 43.755453984]]}"
354,GO-20082875476,1222228800000,2008,September,24,Wednesday,268,D31,Other,155,Downsview,26,Downsview-Roding-CFB (26),"{'type': 'MultiPoint', 'coordinates': [[-79.490194754, 43.7347131610001]]}"
355,GO-20082395868,1223006400000,2008,October,3,Friday,277,D22,Shooting,8,Humber Heights-Westmount,8,Humber Heights-Westmount (8),"{'type': 'MultiPoint', 'coordinates': [[-79.5114786839999, 43.684002396]]}"
356,GO-20083044970,1223524800000,2008,October,9,Thursday,283,D31,Shooting,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),"{'type': 'MultiPoint', 'coordinates': [[-79.5141279429999, 43.720642146]]}"
357,GO-20082386395,1223697600000,2008,October,11,Saturday,285,D14,Other,163,Fort York-Liberty Village,82,Niagara (82),"{'type': 'MultiPoint', 'coordinates': [[-79.3995026329999, 43.633446873]]}"
358,GO-20082897918,1223870400000,2008,October,13,Monday,287,D42,Stabbing,143,West Rouge,131,Rouge (131),"{'type': 'MultiPoint', 'coordinates': [[-79.1668184119999, 43.807564584]]}"
359,GO-20082897918,1223870400000,2008,October,13,Monday,287,D42,Stabbing,143,West Rouge,131,Rouge (131),"{'type': 'MultiPoint', 'coordinates': [[-79.1668184119999, 43.807564584]]}"
360,GO-20082823465,1223956800000,2008,October,14,Tuesday,288,D43,Shooting,139,Scarborough Village,139,Scarborough Village (139),"{'type': 'MultiPoint', 'coordinates': [[-79.225150776, 43.7417880840001]]}"
361,GO-20082440245,1224907200000,2008,October,25,Saturday,299,D55,Shooting,70,South Riverdale,70,South Riverdale (70),"{'type': 'MultiPoint', 'coordinates': [[-79.330204701, 43.663253249]]}"
362,GO-20083023273,1224907200000,2008,October,25,Saturday,299,D32,Shooting,33,Clanton Park,33,Clanton Park (33),"{'type': 'MultiPoint', 'coordinates': [[-79.440108024, 43.7540914740001]]}"
363,GO-20082863291,1226984400000,2008,November,18,Tuesday,323,D43,Stabbing,135,Morningside,135,Morningside (135),"{'type': 'MultiPoint', 'coordinates': [[-79.217941893, 43.7708279130001]]}"
364,GO-20082863291,1226984400000,2008,November,18,Tuesday,323,D43,Stabbing,135,Morningside,135,Morningside (135),"{'type': 'MultiPoint', 'coordinates': [[-79.217941893, 43.7708279130001]]}"
365,GO-20082863291,1226984400000,2008,November,18,Tuesday,323,D43,Stabbing,135,Morningside,135,Morningside (135),"{'type': 'MultiPoint', 'coordinates': [[-79.217941893, 43.7708279130001]]}"
366,GO-20082739826,1227416400000,2008,November,23,Sunday,328,D22,Other,11,Eringate-Centennial-West Deane,11,Eringate-Centennial-West Deane (11),"{'type': 'MultiPoint', 'coordinates': [[-79.5725718859999, 43.653097825]]}"
367,GO-20083049956,1227675600000,2008,November,26,Wednesday,331,D33,Shooting,119,Wexford/Maryvale,119,Wexford/Maryvale (119),"{'type': 'MultiPoint', 'coordinates': [[-79.309781474, 43.742139632]]}"
368,GO-20082439136,1228280400000,2008,December,3,Wednesday,338,D22,Stabbing,18,New Toronto,18,New Toronto (18),"{'type': 'MultiPoint', 'coordinates': [[-79.50889297, 43.601529527]]}"
369,GO-20082873166,1228539600000,2008,December,6,Saturday,341,D12,Stabbing,112,Beechborough-Greenbrook,112,Beechborough-Greenbrook (112),"{'type': 'MultiPoint', 'coordinates': [[-79.472028576, 43.6965771710001]]}"
370,GO-20083103211,1230181200000,2008,December,25,Thursday,360,D41,Other,125,Ionview,125,Ionview (125),"{'type': 'MultiPoint', 'coordinates': [[-79.2789230989999, 43.7328876660001]]}"
371,GO-20093148206,1230958800000,2009,January,3,Saturday,3,D31,Shooting,21,Humber Summit,21,Humber Summit (21),"{'type': 'MultiPoint', 'coordinates': [[-79.552933794, 43.7514449870001]]}"
372,GO-20093100835,1231045200000,2009,January,4,Sunday,4,D33,Shooting,42,Banbury-Don Mills,42,Banbury-Don Mills (42),"{'type': 'MultiPoint', 'coordinates': [[-79.355257708, 43.7409358]]}"
373,GO-20093118823,1231218000000,2009,January,6,Tuesday,6,D54,Other,44,Flemingdon Park,44,Flemingdon Park (44),"{'type': 'MultiPoint', 'coordinates': [[-79.325580536, 43.7186400580001]]}"
374,GO-20093167296,1232082000000,2009,January,16,Friday,16,D12,Stabbing,91,Weston-Pelham Park,91,Weston-Pellam Park (91),"{'type': 'MultiPoint', 'coordinates': [[-79.460691121, 43.6706802410001]]}"
375,GO-20093043662,1232427600000,2009,January,20,Tuesday,20,D12,Shooting,110,Keelesdale-Eglinton West,110,Keelesdale-Eglinton West (110),"{'type': 'MultiPoint', 'coordinates': [[-79.474342892, 43.6885108920001]]}"
376,GO-20093065148,1233464400000,2009,February,1,Sunday,32,D12,Shooting,113,Weston,113,Weston (113),"{'type': 'MultiPoint', 'coordinates': [[-79.511308656, 43.698379066]]}"
377,GO-20092874543,1234242000000,2009,February,10,Tuesday,41,D41,Shooting,135,Morningside,135,Morningside (135),"{'type': 'MultiPoint', 'coordinates': [[-79.206287296, 43.785556496]]}"
378,GO-20093219115,1235278800000,2009,February,22,Sunday,53,D31,Shooting,24,Black Creek,24,Black Creek (24),"{'type': 'MultiPoint', 'coordinates': [[-79.511637918, 43.766043989]]}"
379,GO-20092904889,1235624400000,2009,February,26,Thursday,57,D12,Shooting,112,Beechborough-Greenbrook,112,Beechborough-Greenbrook (112),"{'type': 'MultiPoint', 'coordinates': [[-79.4771502889999, 43.689671589]]}"
380,GO-20093082434,1235797200000,2009,February,28,Saturday,59,D41,Shooting,126,Dorset Park,126,Dorset Park (126),"{'type': 'MultiPoint', 'coordinates': [[-79.276275325, 43.753239758]]}"
381,GO-20093180676,1236830400000,2009,March,12,Thursday,71,D31,Stabbing,24,Black Creek,24,Black Creek (24),"{'type': 'MultiPoint', 'coordinates': [[-79.5311633109999, 43.757341893]]}"
382,GO-20093159164,1238644800000,2009,April,2,Thursday,92,D41,Stabbing,124,Kennedy Park,124,Kennedy Park (124),"{'type': 'MultiPoint', 'coordinates': [[-79.262114912, 43.7259261900001]]}"
383,GO-20093233433,1239940800000,2009,April,17,Friday,107,D55,Stabbing,70,South Riverdale,70,South Riverdale (70),"{'type': 'MultiPoint', 'coordinates': [[-79.3341652989999, 43.665853649]]}"
384,GO-20093104776,1240286400000,2009,April,21,Tuesday,111,D12,Shooting,110,Keelesdale-Eglinton West,110,Keelesdale-Eglinton West (110),"{'type': 'MultiPoint', 'coordinates': [[-79.4723972, 43.684010005]]}"
385,GO-20093185090,1240372800000,2009,April,22,Wednesday,112,D12,Shooting,115,Mount Dennis,115,Mount Dennis (115),"{'type': 'MultiPoint', 'coordinates': [[-79.4988128849999, 43.6844724910001]]}"
386,GO-20093103646,1241150400000,2009,May,1,Friday,121,D11,Shooting,114,Lambton Baby Point,114,Lambton Baby Point (114),"{'type': 'MultiPoint', 'coordinates': [[-79.503478301, 43.663886232]]}"
387,GO-20093201614,1241496000000,2009,May,5,Tuesday,125,D14,Stabbing,84,Little Portugal,84,Little Portugal (84),"{'type': 'MultiPoint', 'coordinates': [[-79.437002821, 43.6499828990001]]}"
388,GO-20093041325,1241841600000,2009,May,9,Saturday,129,D55,Other,65,Greenwood-Coxwell,65,Greenwood-Coxwell (65),"{'type': 'MultiPoint', 'coordinates': [[-79.3201741189999, 43.668317083]]}"
389,GO-20093059077,1242014400000,2009,May,11,Monday,131,D12,Shooting,111,Rockcliffe-Smythe,111,Rockcliffe-Smythe (111),"{'type': 'MultiPoint', 'coordinates': [[-79.500431804, 43.6680114440001]]}"
390,GO-20093330600,1242792000000,2009,May,20,Wednesday,140,D55,Stabbing,70,South Riverdale,70,South Riverdale (70),"{'type': 'MultiPoint', 'coordinates': [[-79.35092127, 43.658632498]]}"
391,GO-20093386271,1242792000000,2009,May,20,Wednesday,140,D23,Stabbing,111,Rockcliffe-Smythe,111,Rockcliffe-Smythe (111),"{'type': 'MultiPoint', 'coordinates': [[-79.4824184939999, 43.6837425040001]]}"
392,GO-20093386271,1242792000000,2009,May,20,Wednesday,140,D12,Other,111,Rockcliffe-Smythe,111,Rockcliffe-Smythe (111),"{'type': 'MultiPoint', 'coordinates': [[-79.4824184939999, 43.6837425040001]]}"
393,GO-20093250588,1245038400000,2009,June,15,Monday,166,D12,Stabbing,6,Kingsview Village-The Westway,6,Kingsview Village-The Westway (6),"{'type': 'MultiPoint', 'coordinates': [[-79.5521509559999, 43.6957896770001]]}"
394,GO-20093420102,1245211200000,2009,June,17,Wednesday,168,D32,Other,31,Yorkdale-Glen Park,31,Yorkdale-Glen Park (31),"{'type': 'MultiPoint', 'coordinates': [[-79.467619538, 43.715720452]]}"
395,GO-20093155134,1245556800000,2009,June,21,Sunday,172,D51,Stabbing,70,South Riverdale,70,South Riverdale (70),"{'type': 'MultiPoint', 'coordinates': [[-79.3524637639999, 43.645310984]]}"
396,GO-20093155134,1245556800000,2009,June,21,Sunday,172,D51,Stabbing,70,South Riverdale,70,South Riverdale (70),"{'type': 'MultiPoint', 'coordinates': [[-79.3524637639999, 43.645310984]]}"
397,GO-20093440867,1246939200000,2009,July,7,Tuesday,188,D31,Other,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),"{'type': 'MultiPoint', 'coordinates': [[-79.510717271, 43.734836406]]}"
398,GO-20093096999,1247284800000,2009,July,11,Saturday,192,D41,Other,126,Dorset Park,126,Dorset Park (126),"{'type': 'MultiPoint', 'coordinates': [[-79.285942291, 43.7715872360001]]}"
399,GO-20093501395,1247976000000,2009,July,19,Sunday,200,D43,Shooting,143,West Rouge,131,Rouge (131),"{'type': 'MultiPoint', 'coordinates': [[-79.128112974, 43.793826558]]}"
400,GO-20093139087,1248062400000,2009,July,20,Monday,201,D42,Stabbing,118,Tam O'Shanter-Sullivan,118,Tam O'Shanter-Sullivan (118),"{'type': 'MultiPoint', 'coordinates': [[-79.298792388, 43.7837043430001]]}"
401,GO-20093523913,1248494400000,2009,July,25,Saturday,206,D14,Shooting,79,University,79,University (79),"{'type': 'MultiPoint', 'coordinates': [[-79.407466837, 43.6659082100001]]}"
402,GO-20093505649,1249099200000,2009,August,1,Saturday,213,D53,Shooting,95,Annex,95,Annex (95),"{'type': 'MultiPoint', 'coordinates': [[-79.3954249449999, 43.6718984130001]]}"
403,GO-20093523721,1249185600000,2009,August,2,Sunday,214,D23,Shooting,1,West Humber-Clairville,1,West Humber-Clairville (1),"{'type': 'MultiPoint', 'coordinates': [[-79.60636069, 43.755006544]]}"
404,GO-20093363634,1249358400000,2009,August,4,Tuesday,216,D51,Shooting,160,Mimico-Queensway,17,Mimico (includes Humber Bay Shores) (17),"{'type': 'MultiPoint', 'coordinates': [[-79.4945900339999, 43.610478803]]}"
405,GO-20093348714,1249444800000,2009,August,5,Wednesday,217,D41,Shooting,138,Eglinton East,138,Eglinton East (138),"{'type': 'MultiPoint', 'coordinates': [[-79.254384531, 43.735366282]]}"
406,GO-20093515443,1249876800000,2009,August,10,Monday,222,D23,Shooting,1,West Humber-Clairville,1,West Humber-Clairville (1),"{'type': 'MultiPoint', 'coordinates': [[-79.592994565, 43.7380506740001]]}"
407,GO-20093523004,1250395200000,2009,August,16,Sunday,228,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),"{'type': 'MultiPoint', 'coordinates': [[-79.588139369, 43.746318473]]}"
408,GO-20093448946,1251864000000,2009,September,2,Wednesday,245,D55,Shooting,69,Blake-Jones,69,Blake-Jones (69),"{'type': 'MultiPoint', 'coordinates': [[-79.338171102, 43.67242586]]}"
409,GO-20093576028,1252123200000,2009,September,5,Saturday,248,D51,Shooting,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),"{'type': 'MultiPoint', 'coordinates': [[-79.3678743529999, 43.650394189]]}"
410,GO-20093269913,1252296000000,2009,September,7,Monday,250,D33,Shooting,49,Bayview Woods-Steeles,49,Bayview Woods-Steeles (49),"{'type': 'MultiPoint', 'coordinates': [[-79.369123825, 43.791297332]]}"
411,GO-20093575026,1252728000000,2009,September,12,Saturday,255,D41,Other,124,Kennedy Park,124,Kennedy Park (124),"{'type': 'MultiPoint', 'coordinates': [[-79.2726718929999, 43.7175665930001]]}"
