year,month,day,day_of_week,homicide_type,hood_158,hood_140
2007,May,21,Monday,Shooting,22,22
2007,May,23,Wednesday,Shooting,42,42
2007,May,26,Saturday,Other,73,73
2007,May,30,Wednesday,Other,78,78
2007,June,5,Tuesday,Stabbing,150,45
2007,June,9,Saturday,Shooting,3,3
2007,June,17,Sunday,Other,109,109
2007,June,25,Monday,Stabbing,144,131
2007,June,25,Monday,Stabbing,144,131
2007,June,29,Friday,Stabbing,72,72
2007,July,3,Tuesday,Shooting,31,31
2007,July,4,Wednesday,Shooting,143,131
2007,July,4,Wednesday,Shooting,143,131
2007,July,7,Saturday,Stabbing,136,136
2007,July,17,Tuesday,Stabbing,142,137
2007,July,21,Saturday,Shooting,107,107
2007,July,22,Sunday,Shooting,74,74
2007,July,22,Sunday,Shooting,164,77
2007,July,22,Sunday,Shooting,25,25
2007,July,28,Saturday,Shooting,144,131
2007,July,28,Saturday,Other,90,90
2007,July,29,Sunday,Stabbing,138,138
2007,July,30,Monday,Shooting,1,1
2007,August,4,Saturday,Shooting,72,72
2007,August,9,Thursday,Stabbing,162,81
2007,August,16,Thursday,Shooting,24,24
2007,August,22,Wednesday,Other,123,123
2007,August,22,Wednesday,Stabbing,55,55
2007,August,26,Sunday,Shooting,121,121
2007,August,31,Friday,Other,129,129
2007,September,1,Saturday,Other,120,120
2007,September,7,Friday,Other,107,107
2007,September,11,Tuesday,Stabbing,126,126
2007,September,11,Tuesday,Other,28,28
2007,September,19,Wednesday,Shooting,168,75
2007,September,25,Tuesday,Other,150,45
2007,September,28,Friday,Shooting,25,25
2007,October,2,Tuesday,Stabbing,155,26
2007,October,6,Saturday,Shooting,111,111
2007,October,8,Monday,Shooting,94,94
2007,October,9,Tuesday,Shooting,25,25
2007,October,14,Sunday,Shooting,119,119
2007,October,18,Thursday,Other,48,48
2007,October,21,Sunday,Shooting,68,68
2007,October,27,Saturday,Shooting,159,14
2007,November,3,Saturday,Stabbing,25,25
2007,November,6,Tuesday,Shooting,73,73
2007,November,23,Friday,Shooting,118,118
2007,November,23,Friday,Shooting,145,132
2007,November,23,Friday,Stabbing,54,54
2007,November,25,Sunday,Shooting,24,24
2007,November,28,Wednesday,Shooting,135,135
2007,December,1,Saturday,Stabbing,156,127
2007,December,2,Sunday,Shooting,146,132
2007,December,14,Friday,Shooting,144,131
2007,December,23,Sunday,Shooting,72,72
2007,December,25,Tuesday,Stabbing,2,2
2007,December,25,Tuesday,Stabbing,2,2
2008,January,1,Tuesday,Stabbing,54,54
2008,January,12,Saturday,Shooting,167,75
2008,January,17,Thursday,Shooting,70,70
2008,January,22,Tuesday,Shooting,154,26
2008,February,1,Friday,Shooting,138,138
2008,February,1,Friday,Shooting,138,138
2008,February,17,Sunday,Shooting,145,132
2008,February,22,Friday,Shooting,141,137
2008,February,23,Saturday,Other,81,81
2008,February,25,Monday,Shooting,62,62
2008,February,28,Thursday,Other,33,33
2008,March,14,Friday,Shooting,31,31
2008,March,18,Tuesday,Stabbing,13,13
2008,March,18,Tuesday,Shooting,70,70
2008,April,17,Thursday,Stabbing,171,93
2008,April,30,Wednesday,Stabbing,90,90
2008,May,4,Sunday,Other,139,139
2008,May,4,Sunday,Stabbing,139,139
2008,May,17,Saturday,Other,42,42
2008,May,17,Saturday,Stabbing,42,42
2008,May,28,Wednesday,Shooting,146,132
2008,May,28,Wednesday,Shooting,118,118
2008,May,28,Wednesday,Other,1,1
2008,May,30,Friday,Shooting,43,43
2008,June,13,Friday,Shooting,162,82
